Age,Gender,self_employed,family_history,treatment,work_interfere,remote_work,benefits,care_options,wellness_program,seek_help,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview
36,male,Yes,Yes,No,Don't Know,Yes,No,No,Yes,No,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe
29,male,No,Yes,Yes,Sometimes,No,Yes,Yes,No,No,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No
31,male,Yes,No,No,Never,Yes,No,No,No,No,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe
46,male,No,No,Yes,Often,Yes,Yes,Yes,No,No,Don't know,Maybe,No,Some of them,Yes,No,Maybe
41,male,No,No,Yes,Never,No,Don't know,No,No,Don't know,Don't know,Maybe,No,No,No,No,Yes
33,male,No,Yes,Yes,Rarely,No,Yes,Not sure,Don't know,Yes,Don't know,No,No,Yes,Yes,No,Yes
35,male,No,Yes,Yes,Sometimes,No,Yes,Yes,No,Don't know,Very easy,Yes,No,Some of them,Yes,No,Yes
33,male,No,No,No,Don't Know,No,Don't know,Not sure,No,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,No
35,female,No,Yes,Yes,Rarely,Yes,Yes,Yes,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe
34,male,No,No,Yes,Sometimes,Yes,Don't know,Not sure,No,Don't know,Somewhat difficult,No,No,Some of them,No,No,No
37,male,No,No,No,Sometimes,No,No,No,No,No,Very difficult,Yes,Maybe,Some of them,No,No,Maybe
32,male,No,No,No,Never,Yes,No,No,No,No,Don't know,Yes,Yes,Some of them,Some of them,No,Maybe
31,male,Yes,Yes,No,Rarely,Yes,No,Yes,No,No,Somewhat difficult,Yes,No,No,No,No,No
30,male,No,Yes,Yes,Sometimes,Yes,Don't know,No,No,No,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes
42,male,No,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Some of them,Maybe,Yes
40,female,No,No,Yes,Sometimes,No,Yes,Yes,No,No,Don't know,Maybe,No,Some of them,No,No,Maybe
27,male,No,No,Yes,Rarely,No,No,Yes,No,No,Very easy,No,No,Yes,Yes,Maybe,Maybe
29,male,No,No,No,Rarely,No,No,No,No,No,Very easy,Yes,Maybe,Some of them,No,No,No
38,male,No,No,No,Don't Know,No,No,Yes,No,No,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe
50,male,No,No,No,Don't Know,No,Yes,Yes,No,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe
35,male,No,No,Yes,Rarely,Yes,Yes,Yes,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe
24,male,No,No,Yes,Sometimes,No,No,No,No,No,Don't know,Maybe,Maybe,Some of them,No,No,Yes
35,male,No,No,No,Don't Know,Yes,Yes,Not sure,Don't know,Yes,Somewhat difficult,Yes,Yes,Some of them,No,No,Maybe
27,male,No,Yes,Yes,Sometimes,No,No,Yes,No,No,Very difficult,Maybe,No,Some of them,No,No,No
18,male,No,No,No,Often,No,No,Not sure,No,No,Somewhat difficult,Yes,Maybe,No,Some of them,No,No
30,male,No,No,Yes,Sometimes,No,Don't know,No,No,No,Don't know,No,No,No,No,No,Maybe
38,female,No,Yes,Yes,Sometimes,No,Yes,Yes,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,No
28,male,No,No,No,Don't Know,No,Don't know,Not sure,No,No,Don't know,No,Maybe,Some of them,Yes,Maybe,Yes
34,male,No,No,No,Don't Know,No,No,No,No,No,Don't know,No,No,Yes,Yes,Maybe,Yes
26,male,Yes,No,No,Sometimes,No,No,Yes,Yes,No,Don't know,No,No,Yes,Yes,No,No
30,male,No,Yes,Yes,Rarely,No,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No
22,male,No,Yes,Yes,Often,No,No,Yes,No,No,Very difficult,Maybe,No,No,No,No,Maybe
33,male,No,No,No,Don't Know,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe
31,male,No,No,No,Don't Know,Yes,Don't know,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe
32,male,No,No,No,Never,Yes,Don't know,Not sure,No,No,Don't know,Maybe,No,Some of them,Yes,No,No
28,male,No,No,No,Don't Know,No,No,No,No,No,Don't know,No,No,No,No,No,Maybe
27,male,No,Yes,Yes,Rarely,No,Yes,Yes,No,No,Don't know,Maybe,No,No,No,No,No
32,male,No,Yes,No,Don't Know,Yes,Don't know,No,No,No,Somewhat easy,No,No,Yes,Yes,No,No
24,male,No,Yes,Yes,Sometimes,Yes,Don't know,No,No,No,Don't know,No,Maybe,Some of them,Yes,Yes,Yes
26,male,No,No,No,Don't Know,No,No,No,No,No,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes
33,male,No,Yes,Yes,Often,Yes,Don't know,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe
44,male,No,Yes,Yes,Sometimes,No,Yes,No,No,Don't know,Don't know,Yes,Maybe,Some of them,No,No,Maybe
26,female,No,No,Yes,Sometimes,Yes,Don't know,Not sure,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes
27,male,No,No,No,Never,No,Yes,Not sure,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe
26,male,No,No,No,Don't Know,No,No,No,No,No,Very easy,Yes,No,No,No,No,No
35,male,No,No,No,Sometimes,No,Don't know,No,No,No,Somewhat easy,No,No,Some of them,Yes,No,Maybe
40,male,No,Yes,No,Sometimes,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,Maybe,Some of them,No,No,No
23,female,No,Yes,Yes,Often,Yes,No,Not sure,No,No,Very easy,No,No,Some of them,Yes,No,Maybe
36,male,No,No,No,Sometimes,Yes,Yes,No,Don't know,Yes,Don't know,Maybe,No,Some of them,Some of them,Maybe,Yes
31,female,No,No,No,Don't Know,Yes,Don't know,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe
34,male,Yes,No,No,Rarely,Yes,No,No,No,No,Don't know,Maybe,No,Some of them,No,No,No
28,male,No,No,No,Never,No,No,No,No,No,Don't know,Maybe,No,Some of them,Some of them,No,No
34,male,No,No,No,Never,No,Don't know,Not sure,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No
23,trans,No,No,No,Rarely,No,Yes,Yes,No,No,Somewhat difficult,Maybe,No,Yes,Yes,No,No
38,male,No,No,No,Don't Know,No,No,No,No,Don't know,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes
33,male,No,No,No,Never,No,Don't know,Not sure,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe
19,male,No,No,No,Don't Know,No,No,Yes,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe
25,male,No,No,No,Don't Know,Yes,Yes,Yes,Yes,Yes,Don't know,No,No,Yes,Yes,Maybe,Yes
31,male,Yes,Yes,No,Sometimes,Yes,No,No,No,No,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe
32,male,No,Yes,Yes,Sometimes,Yes,No,No,No,No,Somewhat difficult,Yes,No,Some of them,No,No,Yes
28,male,No,No,No,Never,Yes,Don't know,No,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,Maybe,Yes
38,male,No,Yes,No,Sometimes,Yes,Yes,Yes,No,Yes,Don't know,No,No,Yes,Some of them,Maybe,Maybe
23,male,No,No,No,Never,No,Yes,Not sure,Yes,Don't know,Very easy,No,No,Some of them,Yes,Maybe,Maybe
30,male,No,No,No,Never,No,No,No,No,No,Don't know,No,No,Some of them,Yes,No,No
27,female,Yes,No,Yes,Often,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Maybe,Some of them,Yes,No,Maybe
33,male,No,Yes,No,Never,No,No,No,No,No,Don't know,Yes,No,No,No,No,Maybe
31,male,No,No,No,Don't Know,No,Don't know,Not sure,No,No,Don't know,No,No,Some of them,Yes,Maybe,Maybe
39,male,Yes,No,Yes,Often,No,No,No,No,No,Very difficult,Maybe,No,Some of them,No,No,Maybe
34,female,No,Yes,Yes,Rarely,Yes,Yes,Not sure,No,Don't know,Don't know,Yes,Maybe,Some of them,Some of them,No,No
29,female,No,No,Yes,Sometimes,No,Yes,Yes,No,No,Don't know,Maybe,No,Some of them,Some of them,No,Maybe
32,male,No,No,No,Don't Know,No,Don't know,No,No,Don't know,Don't know,No,No,Some of them,Some of them,No,No
31,male,No,No,No,Never,No,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No
40,male,No,No,Yes,Sometimes,No,No,Yes,No,No,Very difficult,No,No,Yes,Yes,Yes,Yes
34,male,No,No,No,Don't Know,No,Don't know,No,No,No,Somewhat easy,Maybe,No,Some of them,No,No,Maybe
18,trans,No,No,No,Don't Know,Yes,Yes,Yes,No,No,Somewhat easy,No,No,Yes,Yes,Yes,Yes
25,female,No,No,Yes,Sometimes,No,Yes,Yes,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe
29,male,No,No,No,Never,No,Don't know,No,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe
24,male,No,Yes,No,Rarely,No,Don't know,Not sure,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe
31,male,No,Yes,Yes,Sometimes,No,Don't know,No,No,No,Don't know,No,No,Some of them,Yes,Maybe,Yes
33,male,No,No,Yes,Sometimes,No,No,Yes,No,No,Somewhat easy,Maybe,No,Some of them,No,No,Maybe
30,male,No,No,Yes,Often,No,No,Yes,No,No,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe
26,female,No,Yes,Yes,Sometimes,No,No,Yes,No,No,Very difficult,Yes,No,No,No,No,Maybe
44,female,No,No,No,Never,No,Yes,Not sure,Don't know,Don't know,Don't know,Maybe,Maybe,No,Some of them,No,No
25,male,No,Yes,No,Don't Know,No,Don't know,No,Don't know,Don't know,Very easy,No,No,Some of them,Yes,No,No
33,male,No,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe
29,male,No,No,No,Never,No,Yes,Not sure,Yes,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No
35,male,No,Yes,No,Rarely,No,Yes,Not sure,No,No,Somewhat easy,No,No,Some of them,Yes,No,No
35,male,No,Yes,Yes,Sometimes,Yes,Don't know,Not sure,No,No,Somewhat easy,No,No,Some of them,Yes,No,Maybe
28,male,No,Yes,Yes,Rarely,No,No,No,No,No,Don't know,Maybe,No,Yes,Yes,No,No
34,male,No,Yes,No,Never,Yes,Yes,No,No,No,Don't know,Maybe,No,No,No,No,No
32,male,No,No,Yes,Sometimes,No,Yes,No,Yes,Yes,Somewhat difficult,Maybe,No,Some of them,Yes,No,Maybe
22,male,No,No,Yes,Sometimes,No,Yes,Yes,No,Don't know,Don't know,Yes,No,No,No,No,Yes
28,male,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,No,Maybe
45,male,No,Yes,Yes,Rarely,Yes,Yes,Yes,No,Yes,Very easy,No,No,Yes,Yes,Yes,Yes
32,male,No,No,No,Never,No,Yes,Yes,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No
28,male,No,No,No,Don't Know,No,Don't know,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe
26,male,No,No,No,Never,No,Don't know,No,No,Don't know,Very easy,No,No,Some of them,Some of them,No,No
21,male,Yes,No,No,Often,Yes,No,Yes,No,No,Very difficult,Yes,No,Some of them,Yes,No,Maybe
27,male,No,No,No,Rarely,No,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Yes,No,No
18,male,No,No,Yes,Rarely,Yes,No,No,No,No,Very easy,No,No,Some of them,No,No,No
35,male,No,No,No,Don't Know,Yes,Don't know,Not sure,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe
29,male,No,No,No,Never,No,Yes,Yes,No,Yes,Don't know,Yes,Yes,No,No,No,No
25,male,No,No,No,Don't Know,Yes,Don't know,No,No,No,Very easy,No,No,Some of them,Yes,No,No
33,male,No,Yes,Yes,Sometimes,Yes,Don't know,No,Don't know,Don't know,Very easy,No,No,Yes,Yes,No,Maybe
36,male,No,No,No,Often,No,Yes,No,No,No,Don't know,Maybe,No,No,No,No,No
27,male,No,No,Yes,Never,No,Yes,Not sure,No,No,Very difficult,Maybe,No,Some of them,Yes,No,Maybe
27,male,No,Yes,No,Never,No,Yes,No,Yes,Yes,Don't know,Yes,No,Some of them,No,No,Yes
27,male,No,No,No,Don't Know,No,No,No,No,No,Don't know,No,No,Some of them,Some of them,No,No
32,male,No,No,Yes,Rarely,No,Yes,Yes,No,Yes,Don't know,Yes,No,No,Yes,No,No
31,male,No,Yes,No,Sometimes,No,No,No,No,No,Somewhat easy,Maybe,Maybe,No,No,No,No
19,male,No,No,Yes,Sometimes,No,Don't know,No,No,No,Somewhat easy,Yes,Yes,Some of them,No,No,No
33,male,No,Yes,Yes,Sometimes,No,Yes,Yes,No,No,Very easy,Maybe,No,Yes,Some of them,No,Yes
32,male,No,No,No,Rarely,Yes,No,Yes,No,No,Very difficult,Maybe,No,Yes,Some of them,No,Yes
27,male,No,No,No,Never,No,Don't know,Not sure,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe
38,male,No,No,No,Don't Know,Yes,No,Yes,No,No,Somewhat easy,No,No,Yes,Yes,Maybe,Yes
24,male,No,No,Yes,Never,No,Don't know,No,No,No,Don't know,No,No,Some of them,Yes,Maybe,Yes
39,male,No,No,No,Never,No,No,No,No,No,Don't know,Yes,Maybe,No,No,No,No
28,male,No,No,No,Never,No,Don't know,No,No,No,Very easy,No,No,Some of them,Yes,Maybe,Maybe
39,male,No,No,Yes,Often,No,Yes,Not sure,No,No,Somewhat easy,No,No,Yes,Yes,No,No
29,female,No,No,No,Don't Know,No,Don't know,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,No
22,male,No,No,No,Don't Know,Yes,Don't know,No,Don't know,No,Somewhat easy,No,No,Some of them,Some of them,No,No
38,male,No,Yes,Yes,Sometimes,No,Don't know,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No
37,male,Yes,No,Yes,Sometimes,No,No,Yes,Yes,Yes,Very difficult,Yes,Yes,Some of them,No,No,Maybe
35,male,No,No,No,Never,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Yes,No,Some of them,No,No,Maybe
29,male,No,No,No,Don't Know,Yes,Yes,No,Don't know,Yes,Don't know,No,No,Some of them,Yes,No,No
30,female,No,Yes,No,Don't Know,Yes,Don't know,Not sure,No,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,Maybe
37,male,No,Yes,Yes,Rarely,No,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,Some of them,Yes,Maybe,Maybe
24,male,No,No,No,Never,No,No,No,No,No,Don't know,Maybe,Maybe,No,Some of them,No,No
23,male,No,No,No,Sometimes,No,No,No,No,No,Somewhat easy,Yes,Yes,No,No,No,No
30,male,No,No,Yes,Rarely,No,No,Yes,Yes,Yes,Somewhat easy,Yes,No,Some of them,No,No,No
29,female,No,No,No,Don't Know,Yes,Don't know,Not sure,No,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe
19,male,Yes,Yes,No,Don't Know,Yes,Don't know,Not sure,No,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,Maybe,Maybe
32,male,No,Yes,No,Never,No,Don't know,Not sure,No,No,Very easy,No,No,Some of them,Some of them,No,Maybe
28,male,No,No,No,Rarely,Yes,No,No,No,No,Don't know,No,No,Yes,Yes,Maybe,Yes
36,male,No,No,No,Never,No,Don't know,Not sure,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,Maybe,Maybe
37,male,No,Yes,Yes,Rarely,No,Yes,Yes,Yes,Yes,Somewhat difficult,Yes,Maybe,Some of them,No,No,Yes
25,male,No,Yes,Yes,Sometimes,No,Don't know,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Some of them,No,Maybe
27,male,No,Yes,Yes,Sometimes,No,Don't know,No,No,Don't know,Don't know,No,No,No,Some of them,No,Maybe
26,male,No,No,No,Often,No,Don't know,Not sure,No,No,Don't know,Yes,Maybe,Some of them,Yes,No,Maybe
27,male,No,No,Yes,Rarely,Yes,No,Yes,No,No,Somewhat difficult,Maybe,No,Some of them,Yes,No,No
25,male,No,Yes,Yes,Sometimes,No,Don't know,Not sure,No,No,Very easy,Maybe,No,Some of them,No,No,No
36,male,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe
25,female,No,Yes,Yes,Sometimes,No,Yes,No,No,No,Don't know,Yes,Yes,Some of them,Some of them,No,No
31,male,No,No,No,Never,No,Yes,No,No,Yes,Don't know,No,No,Some of them,Some of them,No,No
26,male,No,Yes,No,Rarely,No,Don't know,No,No,No,Don't know,Maybe,No,Some of them,Yes,No,No
33,female,Yes,Yes,Yes,Sometimes,No,No,Yes,Yes,Yes,Very difficult,No,No,Some of them,Yes,No,Yes
27,female,Yes,Yes,No,Don't Know,Yes,No,Yes,No,No,Somewhat easy,No,No,Yes,Yes,No,Maybe
34,male,No,No,No,Never,No,No,No,No,No,Very easy,Maybe,No,Some of them,Some of them,No,Maybe
42,male,No,No,No,Don't Know,No,No,Yes,No,No,Very difficult,Maybe,No,Yes,Yes,No,Maybe
23,male,Yes,Yes,No,Sometimes,No,No,No,No,No,Very difficult,Yes,No,No,No,No,Maybe
24,male,No,No,No,Rarely,No,Don't know,Not sure,Yes,Don't know,Very easy,Maybe,Maybe,Some of them,Some of them,No,Maybe
26,male,No,No,Yes,Sometimes,No,Yes,Yes,Don't know,Don't know,Somewhat easy,No,No,Yes,Yes,No,No
31,male,Yes,No,Yes,Often,No,Don't know,No,No,No,Don't know,Maybe,No,Some of them,Yes,No,Maybe
22,male,No,No,Yes,Never,No,Don't know,Not sure,No,No,Very difficult,Yes,Maybe,No,No,Maybe,Maybe
23,female,No,No,No,Don't Know,No,Don't know,No,No,Don't know,Don't know,Maybe,Maybe,Some of them,Yes,No,Maybe
34,female,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,Somewhat easy,No,No,Some of them,Yes,No,No
31,male,No,No,No,Never,No,Don't know,Not sure,No,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe
28,male,No,No,No,Don't Know,No,No,Not sure,No,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe
32,female,No,No,Yes,Often,Yes,Yes,Not sure,Don't know,Don't know,Very easy,No,No,Yes,Yes,No,No
45,female,No,No,Yes,Sometimes,No,Yes,No,No,No,Somewhat difficult,No,No,Yes,Yes,No,No
33,male,No,No,No,Don't Know,Yes,Don't know,No,No,No,Very easy,No,No,Yes,Yes,No,Maybe
29,male,No,No,No,Never,Yes,No,No,No,No,Don't know,Maybe,Maybe,No,Yes,Maybe,Yes
26,female,Yes,No,No,Sometimes,No,No,No,No,No,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,No
28,female,No,No,No,Never,No,Don't know,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe
45,male,No,No,Yes,Sometimes,No,Don't know,Not sure,Don't know,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No,No
43,male,No,Yes,Yes,Often,Yes,Yes,Not sure,No,Don't know,Very difficult,Yes,Maybe,No,No,No,No
37,male,No,No,No,Don't Know,Yes,Yes,No,No,No,Don't know,Yes,No,Some of them,No,Maybe,Yes
24,male,No,No,No,Sometimes,No,Don't know,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,Maybe,Yes
26,male,No,No,No,Don't Know,Yes,No,Yes,No,No,Somewhat easy,No,No,Some of them,No,No,Maybe
23,male,No,Yes,No,Don't Know,Yes,Don't know,No,No,No,Don't know,No,No,Some of them,Yes,Maybe,Yes
35,female,No,Yes,Yes,Never,No,Yes,Not sure,Don't know,No,Somewhat easy,Maybe,No,No,No,No,No
38,female,Yes,Yes,Yes,Often,Yes,No,Yes,No,No,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe
28,male,No,Yes,Yes,Sometimes,No,Yes,No,No,No,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe
28,male,No,No,No,Sometimes,No,No,No,No,No,Don't know,Yes,Maybe,No,No,No,Maybe
35,male,No,No,Yes,Rarely,No,No,No,No,No,Don't know,No,No,Some of them,Yes,No,No
32,female,No,No,No,Sometimes,No,No,No,No,No,Very difficult,Yes,Yes,Some of them,No,No,No
31,male,Yes,Yes,No,Never,No,No,No,No,No,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe
35,female,No,No,No,Never,Yes,Don't know,Not sure,No,No,Don't know,Maybe,Maybe,Some of them,No,No,No
26,male,No,No,No,Rarely,No,Yes,No,No,No,Somewhat easy,No,No,Some of them,Yes,No,Maybe
27,male,No,Yes,No,Don't Know,Yes,Yes,Yes,No,No,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe
28,male,No,Yes,Yes,Sometimes,No,Don't know,No,No,No,Don't know,Maybe,Maybe,Some of them,No,No,Maybe
27,female,No,Yes,Yes,Sometimes,No,Yes,No,No,No,Very easy,No,No,Some of them,Some of them,No,No
34,female,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,No
41,male,No,No,Yes,Often,Yes,No,Not sure,No,No,Very difficult,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe
37,male,No,No,No,Sometimes,No,No,Yes,No,No,Very difficult,Yes,No,No,No,No,Yes
34,male,No,Yes,No,Don't Know,Yes,Don't know,No,Don't know,Don't know,Very easy,No,No,Yes,Yes,No,No
32,male,No,Yes,Yes,Sometimes,Yes,Don't know,Not sure,No,No,Somewhat difficult,Yes,Maybe,No,No,No,No
21,male,No,No,Yes,Sometimes,Yes,No,Yes,No,No,Somewhat difficult,No,No,Some of them,Some of them,Maybe,Maybe
30,male,No,No,Yes,Often,No,No,Yes,No,No,Somewhat easy,Maybe,No,Yes,Yes,No,Maybe
24,male,No,No,No,Never,No,Don't know,Not sure,No,Don't know,Don't know,No,No,Some of them,Yes,No,No
26,male,No,No,No,Don't Know,No,No,No,No,No,Very easy,Yes,Maybe,No,No,No,Maybe
40,female,No,No,No,Don't Know,No,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No
37,male,No,Yes,No,Sometimes,No,No,No,No,No,Don't know,Yes,Maybe,Some of them,Yes,No,Maybe
26,male,Yes,No,Yes,Often,Yes,No,No,No,No,Don't know,Yes,No,No,No,No,Maybe
32,female,No,Yes,Yes,Sometimes,No,Don't know,No,No,No,Don't know,Yes,Maybe,Some of them,Some of them,No,Maybe
32,female,No,No,Yes,Sometimes,No,Yes,Yes,Don't know,Don't know,Very easy,No,No,Yes,Yes,No,Yes
27,female,Yes,Yes,Yes,Sometimes,Yes,No,No,Don't know,Don't know,Very difficult,No,No,Some of them,No,No,No
30,male,Yes,No,Yes,Often,Yes,Yes,Yes,No,No,Very difficult,No,No,Some of them,Yes,Maybe,Yes
31,male,Yes,No,No,Don't Know,No,Yes,Yes,No,Don't know,Very easy,No,No,Some of them,Some of them,No,No
29,female,No,No,Yes,Never,No,Yes,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,No,No,No
41,male,No,No,No,Don't Know,No,Yes,Not sure,No,No,Very easy,Yes,No,No,Some of them,No,No
34,female,No,No,No,Don't Know,No,Yes,No,No,No,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe
33,male,No,No,No,Don't Know,No,Don't know,No,No,No,Don't know,No,No,Yes,Yes,Yes,Yes
28,male,No,No,No,Rarely,No,Don't know,No,No,No,Don't know,No,No,Some of them,Some of them,No,Maybe
28,male,No,No,Yes,Sometimes,No,No,Yes,No,No,Very difficult,Yes,No,No,Some of them,No,No
23,male,No,No,No,Never,No,Don't know,Not sure,Don't know,Don't know,Don't know,No,No,No,Yes,No,Yes
24,male,No,No,No,Don't Know,No,Don't know,No,Don't know,No,Very easy,No,No,Yes,Yes,Maybe,Yes
32,male,No,No,No,Rarely,Yes,No,Yes,No,No,Very difficult,No,No,Some of them,Yes,No,Maybe
34,male,Yes,No,No,Sometimes,Yes,Don't know,Not sure,Yes,Yes,Somewhat difficult,Yes,Yes,No,No,No,Maybe
24,male,No,No,No,Never,No,Yes,Not sure,No,Don't know,Very easy,Maybe,No,Some of them,No,Maybe,Maybe
26,male,Yes,No,Yes,Sometimes,No,No,Yes,No,No,Don't know,Maybe,No,Some of them,Some of them,No,Maybe
36,male,No,No,Yes,Sometimes,No,Yes,No,No,Yes,Don't know,Maybe,No,Some of them,Some of them,No,Maybe
41,male,No,No,Yes,Rarely,Yes,Yes,Yes,No,Don't know,Don't know,Maybe,Maybe,Some of them,No,Maybe,Maybe
38,male,No,No,Yes,Sometimes,No,Don't know,Not sure,Don't know,Don't know,Very difficult,Yes,No,No,No,No,Maybe
38,male,No,No,No,Sometimes,Yes,Don't know,Not sure,No,Don't know,Don't know,Maybe,Maybe,Some of them,Yes,No,Maybe
